"Code point","Rank 1","Rank 2","Unicode name","WP43S usage","Should be","Glyph","Replacement","Code point"
"U+00e4",64,79,"LATIN SMALL LETTER A WITH DIAERESIS",,,"ä","A","U+0041"
"U+00e5",64,81,"LATIN SMALL LETTER A WITH RING ABOVE",,,"å","A","U+0041"
"U+00e6",64,83,"LATIN SMALL LETTER AE",,,"æ","A","U+0041"
"U+00e7",94,99,"LATIN SMALL LETTER C WITH CEDILLA",,,"ç","C","U+0043"
"U+00e8",116,122,"LATIN SMALL LETTER E WITH GRAVE",,,"è","E","U+0045"
"U+00e9",116,124,"LATIN SMALL LETTER E WITH ACUTE",,,"é","E","U+0045"
"U+00ea",116,126,"LATIN SMALL LETTER E WITH CIRCUMFLEX",,,"ê","E","U+0045"
"U+00eb",116,128,"LATIN SMALL LETTER E WITH DIAERESIS",,,"ë","E","U+0045"
"U+00ec",158,163,"LATIN SMALL LETTER I WITH GRAVE",,,"ì","I","U+0049"
"U+00ed",158,165,"LATIN SMALL LETTER I WITH ACUTE",,,"í","I","U+0049"
"U+00ee",158,167,"LATIN SMALL LETTER I WITH CIRCUMFLEX",,,"î","I","U+0049"
"U+00ef",158,169,"LATIN SMALL LETTER I WITH DIAERESIS",,,"ï","I","U+0049"
"U+00f0",106,111,"LATIN SMALL LETTER ETH",,,"ð","D","U+0044"
"U+00f1",203,209,"LATIN SMALL LETTER N WITH TILDE",,,"ñ","N","U+004E"
"U+00f2",215,223,"LATIN SMALL LETTER O WITH GRAVE",,,"ò","O","U+004F"
"U+00f3",215,225,"LATIN SMALL LETTER O WITH ACUTE",,,"ó","O","U+004F"
"U+00f4",215,227,"LATIN SMALL LETTER O WITH CIRCUMFLEX",,,"ô","O","U+004F"
"U+00f5",215,229,"LATIN SMALL LETTER O WITH TILDE",,,"õ","O","U+004F"
"U+00f6",215,231,"LATIN SMALL LETTER O WITH DIAERESIS",,,"ö","O","U+004F"
"U+00f7",466,468,"DIVISION SIGN",,,"÷",":","U+003a"
"U+00f8",215,233,"LATIN SMALL LETTER O WITH STROKE",,,"ø","O","U+004F"
"U+00f9",281,287,"LATIN SMALL LETTER U WITH GRAVE",,,"ù","U","U+0055"
"U+00fa",281,289,"LATIN SMALL LETTER U WITH ACUTE",,,"ú","U","U+0055"
"U+00fb",281,291,"LATIN SMALL LETTER U WITH CIRCUMFLEX",,,"û","U","U+0055"
"U+00fc",281,293,"LATIN SMALL LETTER U WITH DIAERESIS",,,"ü","U","U+0055"
"U+00fd",324,329,"LATIN SMALL LETTER Y WITH ACUTE",,,"ý","Y","U+0059"
"U+00ff",324,333,"LATIN SMALL LETTER Y WITH DIAERESIS",,,"ÿ","Y","U+0059"
"U+0100",64,84,"LATIN CAPITAL LETTER A WITH MACRON",,,"Ā","A","U+0041"
"U+0101",64,85,"LATIN SMALL LETTER A WITH MACRON",,,"ā","A","U+0041"
"U+0102",64,86,"LATIN CAPITAL LETTER A WITH BREVE",,,"Ă","A","U+0041"
"U+0103",64,87,"LATIN SMALL LETTER A WITH BREVE",,,"ă","A","U+0041"
"U+0104",64,88,"LATIN CAPITAL LETTER A WITH OGONEK",,,"Ą","A","U+0041"
"U+0105",64,89,"LATIN SMALL LETTER A WITH OGONEK",,,"ą","A","U+0041"
"U+0106",94,100,"LATIN CAPITAL LETTER C WITH ACUTE",,,"Ć","C","U+0043"
"U+0107",94,101,"LATIN SMALL LETTER C WITH ACUTE",,,"ć","C","U+0043"
"U+010c",94,102,"LATIN CAPITAL LETTER C WITH CARON",,,"Č","C","U+0043"
"U+010d",94,103,"LATIN SMALL LETTER C WITH CARON",,,"č","C","U+0043"
"U+010e",106,112,"LATIN CAPITAL LETTER D WITH CARON",,,"Ď","D","U+0044"
"U+010f",106,113,"LATIN SMALL LETTER D WITH CARON",,,"ď","D","U+0044"
"U+0110",106,114,"LATIN CAPITAL LETTER D WITH STROKE",,,"Đ","D","U+0044"
"U+0111",106,115,"LATIN SMALL LETTER D WITH STROKE",,,"đ","D","U+0044"
